Account:123, status 学生 , login succeeded,time 2019-06-13 08:58:26 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 21:30:36 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 21:32:19 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 21:38:42 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 21:43:59 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 21:46:46 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 21:49:57 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 21:56:04 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 21:58:22 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 22:00:17 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 22:02:10 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 22:03:50 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 22:05:12 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 22:06:51 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 22:08:06 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 22:11:53 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 22:12:42 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 22:16:05 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 22:17:22 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 22:18:55 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 22:19:42 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 22:22:22 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 22:26:14 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 22:29:36 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 22:30:43 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 22:31:23 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 22:36:58 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-17 10:58:31 
账号: 10001, 身份: 教师 , 登录:  failed , 登录时间:  2019-06-17 10:59:28 
账号: 10003, 身份: 学生 , 登录:  failed , 登录时间:  2019-06-17 10:59:46 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-17 11:00:57 
账号: 123, 身份: 管理员 , 登录:  succeeded , 登录时间:  2019-06-17 11:01:55 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-17 11:17:11 
账号: 123, 身份: 管理员 , 登录:  succeeded , 登录时间:  2019-06-17 11:32:16 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-17 11:33:09 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-17 11:36:03 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-17 11:37:37 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-17 11:38:39 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-17 11:43:03 
账号: 20001, 身份: 学生 , 登录:  failed , 登录时间:  2019-06-17 11:44:40 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-17 11:44:54 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-17 15:40:02 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-17 15:41:01 
账号: 20001, 身份: 学生 , 登录:  failed , 登录时间:  2019-06-17 15:46:57 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-17 15:47:03 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-17 15:56:53 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-17 16:03:50 
账号: 20, 身份: 教师 , 登录:  failed , 登录时间:  2019-06-17 16:17:29 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-17 16:17:35 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-17 16:45:51 
账号: 2, 身份: 教师 , 登录:  failed , 登录时间:  2019-06-17 16:54:50 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-17 16:54:57 
账号: 20001, 身份: 学生 , 登录:  failed , 登录时间:  2019-06-17 16:57:50 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-17 16:58:03 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-17 17:00:04 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-17 17:33:07 
账号: 2, 身份: 学生 , 登录:  failed , 登录时间:  2019-06-17 17:35:51 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-17 17:35:55 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-17 17:36:44 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-17 17:42:57 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-17 17:45:34 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-17 17:50:07 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-17 17:52:04 
<<<<<<< HEAD
=======
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 17:01:30 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 20:45:34 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-16 20:51:16 
>>>>>>> 鍚堝苟1.0
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-18 09:53:45 
账号: 20002, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-18 09:57:02 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-18 17:14:53 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-18 17:24:42 
=======
账号: 123, 身份: 管理员 , 登录:  succeeded , 登录时间:  2019-06-17 22:41:45 
账号: 123, 身份: 管理员 , 登录:  succeeded , 登录时间:  2019-06-17 23:00:47 
账号: 123, 身份: 管理员 , 登录:  succeeded , 登录时间:  2019-06-17 23:03:39 
账号: 123, 身份: 管理员 , 登录:  succeeded , 登录时间:  2019-06-17 23:11:31 
账号: 123, 身份: 管理员 , 登录:  succeeded , 登录时间:  2019-06-17 23:11:38 
账号: 123, 身份: 管理员 , 登录:  succeeded , 登录时间:  2019-06-18 00:04:47 
账号: 123, 身份: 管理员 , 登录:  succeeded , 登录时间:  2019-06-18 00:06:26 
账号: 123, 身份: 管理员 , 登录:  succeeded , 登录时间:  2019-06-18 00:07:02 
账号: 123, 身份: 管理员 , 登录:  succeeded , 登录时间:  2019-06-18 00:16:02 
账号: 123, 身份: 管理员 , 登录:  succeeded , 登录时间:  2019-06-18 00:16:12 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-18 00:25:37 
账号: 123, 身份: 管理员 , 登录:  succeeded , 登录时间:  2019-06-18 00:29:27 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-18 00:29:58 
账号: 123, 身份: 管理员 , 登录:  succeeded , 登录时间:  2019-06-18 00:37:44 
<<<<<<< HEAD
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-18 09:55:04 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-25 09:56:57 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-25 09:57:11 
=======
>>>>>>> 0a6490334b9d61859ae750cdf66cc5204360ea7b
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-18 17:29:37 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-18 17:36:16 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-18 17:37:32 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-18 17:44:20 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-18 17:48:03 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-18 17:51:03 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-18 17:53:20 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-23 10:14:47 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-23 10:15:12 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-23 10:19:52 
账号: 123, 身份: 管理员 , 登录:  succeeded , 登录时间:  2019-06-23 10:20:32 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-23 10:21:37 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-23 10:24:38 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-24 14:34:52 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 15:17:12 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 15:35:00 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 15:38:49 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 15:43:23 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 15:44:43 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-24 16:17:10 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 16:22:55 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-24 16:23:33 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 16:27:55 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 16:28:45 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 16:33:24 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-24 16:50:01 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 16:50:35 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 16:53:20 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 16:55:24 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 16:57:23 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 17:03:51 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-24 17:19:07 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 17:26:42 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 17:28:02 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 17:31:29 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 17:35:39 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 17:53:28 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 17:53:49 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 18:29:37 
账号: 20001, 身份: 教师 , 登录:  failed , 登录时间:  2019-06-24 18:53:47 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 18:53:55 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 19:12:52 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 19:16:12 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 19:19:42 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 19:24:19 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 19:25:23 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-24 19:26:58 
账号: 10001, 身份: 学生 , 登录:  failed , 登录时间:  2019-06-25 09:21:08 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-25 09:21:13 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-25 09:23:53 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-25 09:38:56 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-06-25 09:40:28 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-25 09:41:15 
账号: 123, 身份: 管理员 , 登录:  succeeded , 登录时间:  2019-06-25 09:45:28 
>>>>>>> 24f6f9cc57fdd6049ee95a815ac5bb99fb11f6df
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-25 10:02:43 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-25 10:02:54 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-25 10:06:45 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-25 10:07:22 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-25 15:23:13 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-25 15:23:31 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-27 19:11:08 
账号: 20002, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-27 19:13:54 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-28 14:24:08 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-28 15:24:46 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-28 15:47:41 
账号: 20002, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-28 15:52:59 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-28 15:58:02 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-28 16:01:50 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-28 17:06:34 
账号: 20002, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-28 17:09:35 
账号: 20001, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-06-28 17:10:05 
账号: 10001, 身份: 学生 , 登录:  succeeded , 登录时间:  2019-07-05 10:26:46 
账号: 20002, 身份: 教师 , 登录:  succeeded , 登录时间:  2019-07-05 10:28:29 
账号: 123, 身份: 管理员 , 登录:  succeeded , 登录时间:  2019-07-05 10:29:26 
